Tradename,License #,UBI,Street Address,Suite/Rm,City,State,County,ZipCode,PrivDesc,PrivilegeStatus,DateCreated,DayPhone,
20AFTER4                                     ,425128,6033492700010004,302 HAZEL ST                  ,                         ,KELSO                   ,WA,COWLITZ,986261410,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171123,2063886909,
21+ RECREATIONAL MARIJUANA                   ,422073,6035830060010001,3598 BETHEL RD SE             ,                         ,PORT ORCHARD            ,WA,KITSAP,983665605,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170606,2064278666,
25 TREES                                     ,084154,6033600740010001,3213 S 38TH STE C             ,                         ,TACOMA                  ,WA,PIERCE,984041094,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180116,2533768562,
365 RECREATIONAL CANNABIS                    ,413310,6034296550010001,17517 15TH AVE NE STE 202     ,                         ,SHORELINE               ,WA,KING,981553801,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160926,2065577778,
365 RECREATIONAL CANNABIS                    ,422099,6035976210010001,36711 U.S. HIGHWAY 12         ,                         ,DAYTON                  ,WA,COLUMBIA,983288622,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180720,4259194183,
365 RECREATIONAL CANNABIS                    ,423784,6034296550010002,17517 15TH AVE NE #B          ,                         ,SHORELINE               ,WA,KING,981553801,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180719,4259194183,
4:20 FRIENDLY                                ,413586,6033515760010001,1515 LEWIS ST                 ,                         ,SPOKANE                 ,WA,SPOKANE,992249785,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171027,5094990999,
418BAL ACCESS RETAIL                         ,414418,6033185960010004,661 NESS' CORNER RD           ,                         ,PORT HADLOCK            ,WA,JEFFERSON,983390000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160428,3602977996,
420 CAPITOL                                  ,424848,6035340690010002,5980 CAPITOL BLVD SE          ,                         ,TUMWATER                ,WA,THURSTON,985015274,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180719,3604026368,
420 CARPENTER                                ,415083,6033585480010002,422 CARPENTER RD STE 105      ,                         ,LACEY                   ,WA,THURSTON,985037906,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180105,3604026368,
420 DOWNTOWN                                 ,421797,6035495920010004,23694 HIGHWAY 3 STE A         ,                         ,BELFAIR                 ,WA,MASON,985280000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180423,3605616972,
420 ELMA ON MAIN                             ,426678,6035792630010002,306 W MAIN ST                 ,                         ,ELMA                    ,WA,GRAYS HARBOR,985410000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180423,3605616972,
420 HOLIDAY                                  ,415526,6033592380010001,2028 10TH AVE                 ,                         ,LONGVIEW                ,WA,COWLITZ,986324007,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171114,3607033103,
420 REMEDIES                                 ,422834,6033767260010001,2807 OLYMPIC HWY STE B        ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985203158,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160402,3607912094,
420 REMEDIES                                 ,423252,6033767260010002,1628 STATE ROUTE 105 STE A-1  ,                         ,GRAYLAND                ,WA,GRAYS HARBOR,985479504,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160402,3607912094,
420 SPOT SHOP                                ,414550,6034051800010001,1374 SE LUND AVE              ,                         ,PORT ORCHARD            ,WA,KITSAP,983665628,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180425,3608765699,
420 WEST                                     ,414733,6033585480010001,410 RONLEE LN NW A1           ,                         ,OLYMPIA                 ,WA,THURSTON,985029266,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180105,3604026368,
"420ME, LLC                                   ",421759,6041829490010001,430 CARPENTER RD SE           ,                         ,LACEY                   ,WA,THURSTON,985037930,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180111,3604026368,
4EVER HEALING                                ,414775,6034232020010001,9925 214TH AVE E              ,STE F                    ,BONNEY LAKE             ,WA,PIERCE,983910000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160920,2532241442,
A & J MANAGEMENT GROUP                       ,421491,6032945690010002,234 DIVISION ST NW STE B      ,                         ,OLYMPIA                 ,WA,THURSTON,985024916,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180310,5055507710,
A BUD & LEAF                                 ,413821,6033579130010001,421 LILLY RD SE               ,                         ,OLYMPIA                 ,WA,THURSTON,985012108,MARIJUANA RETAILER                 ,CLOSED (TEMPORARY),20180702,3608706000,
A GREEN LIFE                                 ,413361,6032719560010001,15219 NE 90TH ST UNIT B       ,                         ,REDMOND                 ,WA,KING,980523561,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170905,2068537391,
A GREEN LIFE                                 ,421755,6032719560010002,9625 15TH AVE SW              ,                         ,SEATTLE                 ,WA,KING,981062821,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171121,2068537391,
A GREEN LIFE                                 ,421995,6032719560010003,9823 15TH AVE SW UNIT D2      ,UNIT D2                  ,SEATTLE                 ,WA,KING,981062847,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180409,2068537391,
A GREENER TODAY MARIJUANA                    ,414441,6034501390010005,5209 MARTIN LUTHER KING JR.   ,WAY S                    ,SEATTLE                 ,WA,KING,981186131,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171024,4257736037,
A GREENER TODAY MARIJUANA                    ,414814,6034501390010003,16053 AURORA AVE N STE B      ,STE B                    ,SHORELINE               ,WA,KING,981332610,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171013,4257736021,
A GREENER TODAY MARIJUANA                    ,422044,6041339060010001,19315 BOTHELL EVERETT HWY #1  ,UNIT 1                   ,BOTHELL                 ,WA,SNOHOMISH,980127112,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180510,4257736021,
A GREENER TODAY RECREATIONAL                 ,402107,6034501390010002,10522 LAKE CITY WAY NE STE    ,C103 & C104              ,SEATTLE                 ,WA,KING,981250000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20161216,4257736021,
A GREENER TODAY WALLA WALLA                  ,426039,6035146970010003,655 WEST POPLAR ST            ,                         ,WALLA WALLA             ,WA,WALLA WALLA,993620000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180612,2063803608,
A PIPE DREAM                                 ,422849,6035939070010002,360 STATE ROUTE 7             ,                         ,MORTON                  ,WA,LEWIS,983560000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180618,5033170557,
AARDVARK REEFEROLOGY                         ,413896,6034341890010001,325 NE LECHNER ST             ,                         ,CAMAS                   ,WA,CLARK,986070000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160217,3609075453,
ACCESS CANIBUS LLC                           ,422765,6035572950010001,3082 WAITTS LAKE RD           ,                         ,VALLEY                  ,WA,STEVENS,991810000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180227,3604703051,
ALL NATURAL HERBS LLC                        ,422709,6036016970010001,6020 PACIFIC AVE SE # M1973   ,                         ,LACEY                   ,WA,THURSTON,985031319,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160329,3602393363,
ALTERNATIVE MEDICINE COLLECTIVE              ,077000,6032719560010007,15041 BOTHELL WAY NE          ,                         ,LAKE FOREST PARK        ,WA,KING,981557603,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180409,2069159212,
ALTITUDE                                     ,414225,6033570900010001,260 MERLOT DR                 ,                         ,PROSSER                 ,WA,BENTON,993500000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171114,5097864200,
ALWAYS GREENER DOWNTOWN                      ,415486,6035989000010001,15937 REDMOND WAY STE B       ,                         ,REDMOND                 ,WA,KING,980523836,MARIJUANA RETAILER                 ,PENDING (ISSUED),20180621,4258615497,
AMERICAN HARVEST                             ,422954,6033525730010005,7550 US 97                    ,                         ,PESHASTIN               ,WA,CHELAN,988470000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171205,5033177035,
AMERICAN HARVEST                             ,423431,6033525730010004,3014 GS CENTER RD STE D       ,                         ,WENATCHEE               ,WA,CHELAN,988019144,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170110,5096301707,
AMERICAN MARY                                ,410332,6033452790010001,321 NE 45TH ST                ,                         ,SEATTLE                 ,WA,KING,981056133,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171221,3038295712,
AMERICAN MARY                                ,420382,6031478630010008,3405 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981341904,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20180727,3038295712,
AMERICAN POT SHOP                            ,421905,6032170680010006,3005 NORTHVIEW CIRCLE         ,                         ,SHELTON                 ,WA,MASON,985842948,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170925,2063292223,
AMERICANNA WEED CO                           ,414649,6033580640010001,320 N KELLOGG ST STE B        ,                         ,KENNEWICK               ,WA,BENTON,993364944,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160125,4252100546,
ANACORTES CANNABIS                           ,421652,6033570100010002,7656 STATE ROUTE 20 UNIT A    ,                         ,ANACORTES               ,WA,SKAGIT,982218311,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171222,3605886222,
APEX CANNABIS                                ,420941,6033264170010006,120 E MISSION AVE             ,                         ,SPOKANE                 ,WA,SPOKANE,992021817,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171031,5099983405,
APEX CANNABIS                                ,421110,6033264170010002,955 W BROADWAY AVE            ,                         ,MOSES LAKE              ,WA,GRANT,988370000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180628,5094990646,
APEX CANNABIS                                ,422447,6033264170010004,21502 E GILBERT RD            ,                         ,OTIS ORCHARDS           ,WA,SPOKANE,990279241,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180628,5094990646,
APEX CANNABIS                                ,425767,6033264170010008,1325 N DIVISION ST STE 104    ,                         ,SPOKANE                 ,WA,SPOKANE,992021808,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180628,5094990646,
ARISTOCRAT CANNABIS LLC                      ,422420,6035889360010001,285 CANAL RD                  ,                         ,TOUTLE                  ,WA,COWLITZ,986499703,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180308,2066596531,
ARKY VANDELAY LLC                            ,414450,6042912990010001,417 NW 65TH ST                ,                         ,SEATTLE                 ,WA,KING,981175027,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20180720,0000000000,
AUDYSEA                                      ,422175,6035792630010001,5703 OLYMPIC HWY              ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180423,3605616972,
AXIS MANAGEMENT LLC                          ,422962,6033767260010004,405 E UNION ST                ,                         ,CENTRALIA               ,WA,LEWIS,985313759,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160405,3607912094,
B & M                                        ,424193,6035987690010001,202 AVE D STE C               ,                         ,SNOHOMISH               ,WA,SNOHOMISH,982902745,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160331,4252098924,
B STREET BUD                                 ,414558,6032410690010002,400 BURDIN AVE                ,                         ,GRAND COULEE            ,WA,GRANT,991335009,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180227,5096332453,
BAD ASS WEED CO.                             ,085059,6033524760010006,8459 MAIN ST  UNIT B          ,UNIT B                   ,DRYDEN                  ,WA,CHELAN,988210000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171120,5098885712,
BATSTONE BUD SHOP                            ,420478,6034123950010002,933 E JOHNS PRAIRIE RD        ,                         ,SHELTON                 ,WA,MASON,985841270,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20180418,3604262000,
BAYSHORE CANNABIS CO                         ,415127,6041578100010001,3831 HIGHWAY 3                ,                         ,SHELTON                 ,WA,MASON,985840000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180618,2062344663,
BB&B                                         ,415544,6033558630010002,RETAIL TITLE CERTIFICATE      ,                         ,FEDERAL WAY             ,WA,KING,980032406,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180723,2532794511,
BEAUTIFUL GREEN LLC                          ,422805,6036037780010001,4812 PACIFIC AVE SE STE B     ,                         ,LACEY                   ,WA,THURSTON,985031218,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160402,3608904918,
BEAUTIFUL SUN LLC                            ,422804,6036037750010001,7226 MARTIN WAY E  STE C      ,                         ,OLYMPIA                 ,WA,THURSTON,985165533,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20160402,3608904918,
BELLEVUE MARIJUANA                           ,415253,6033504230010001,614 116TH AVE NE              ,                         ,BELLEVUE                ,WA,KING,980045206,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180117,4254535749,
BELLEVUE MARIJUANA                           ,426125,6033504230010004,638 116TH AVE NE              ,                         ,BELLEVUE                ,WA,KING,980045216,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180117,4254535749,
BELLINGHAM MARIJUANA                         ,422612,6035966060010001,5463 GUIDE MERIDIAN RD        ,                         ,BELLINGHAM              ,WA,WHATCOM,982269771,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180331,2067553751,
BEST BUDZ                                    ,413964,6021535060020001,4308 103RD PL NE              ,                         ,MARYSVILLE              ,WA,SNOHOMISH,982718634,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131224,4252689816,
BETTER BUDS                                  ,413846,6035765800010006,946 WASHINGTON WAY            ,                         ,LONGVIEW                ,WA,COWLITZ,986324030,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),        ,3609676056,
BETTER BUDS                                  ,414277,6033530980010001,4235 OLYMPIC DR W             ,                         ,BREMERTON               ,WA,KITSAP,983120000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20171212,2538964100,
BETTER BUDS                                  ,421709,6035924360010001,841 NESS CORNER RD  STE B     ,STE B                    ,PORT HADLOCK            ,WA,JEFFERSON,983399572,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180226,3607316611,
BETTER BUDS                                  ,425965,6033530980010004,10384 SILVERDALE WAY NW STE 10,                         ,SILVERDALE              ,WA,KITSAP,983837670,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171229,3607316611,
BLOOM                                        ,414103,6033549360010002,10707 PACIFIC AVE S SUITE D   ,                         ,TACOMA                  ,WA,PIERCE,984446098,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180619,4254443456,
BLOOM CANNABIS                               ,350766,6033549360010003,11311 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044816,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180509,4254443456,
BLOWIN SMOKE                                 ,414902,6030688930010002,545 C HWY 395 S               ,                         ,COLVILLE                ,WA,STEVENS,991140000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160225,5096758564,
BLOWIN SMOKE                                 ,422202,6030688930010003,1967 HIGHWAY 395 S STE C      ,                         ,CHEWELAH                ,WA,STEVENS,991099708,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180105,5099357420,
BONANZA BUDS                                 ,422930,6034341980010004,1215 N LAKE SAMISH DR UNIT 1  ,                         ,BELLINGHAM              ,WA,WHATCOM,982299310,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171003,2532123746,
BOYDEN INVESTMENT GROUP                      ,415241,6033536370010003,2215 4TH AVE S                ,                         ,SEATTLE                 ,WA,KING,981341516,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160707,5202508988,
BRIGHTON BAY 2                               ,422414,6035122630010001,RETAIL TITLE CERTIFICATE      ,                         ,LYNNWOOD                ,WA,SNOHOMISH,980364715,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180529,2063999999,
BUD COMMANDER                                ,413802,6033518190010001,849 TROSPER RD SW STE 207     ,                         ,TUMWATER                ,WA,THURSTON,985128145,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171116,3606881709,
BUD HUT                                      ,410831,6035699590010001,26207 MAPLE VALLEY BLACK      ,DIAMOND RD               ,MAPLE VALLEY            ,WA,KING,980388378,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171214,4257604345,
BUD HUT                                      ,413901,6033591690010001,1131 E STATE ROUTE 532        ,                         ,CAMANO ISLAND           ,WA,ISLAND,982828833,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180706,4254789928,
BUD HUT                                      ,415361,6033525070010003,8142 HIGHWAY 14               ,                         ,LYLE                    ,WA,KLICKITAT,986350000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171122,4254781077,
BUD HUT                                      ,415504,6033594940010001,11603 HWY 99                  ,                         ,EVERETT                 ,WA,SNOHOMISH,982044811,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180530,4253531449,
BUD HUT                                      ,421568,6035481120010003,1717 NE ANDRESEN RD           ,                         ,VANCOUVER               ,WA,CLARK,986616890,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180529,4257896996,
BUD HUT                                      ,422332,6035726930010004,70 SALTSPRING DR  UNIT 2A     ,UNIT 2A                  ,FRIDAY HARBOR           ,WA,SAN JUAN,982509062,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180221,4254781077,
BUD HUT                                      ,422781,6036026430010002,200 SUZANNE LANE STE D        ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739514,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180404,3606681111,
BUD HUT                                      ,422792,6036026430010001,2200 TALLEY WAY  STE A        ,SUITE A                  ,KELSO                   ,WA,COWLITZ,986265511,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180404,3606681111,
BUD NATION                                   ,072437,6030294870010003,9640 16TH AVE SW STE A        ,                         ,SEATTLE                 ,WA,KING,981062827,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160819,2068198898,
BUD NATION                                   ,415203,6030294870010004,9640 16TH AVE SW STE C & D    ,STE C & D                ,SEATTLE                 ,WA,KING,981062827,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180615,2068198898,
BUDDY'S                                      ,413893,6033590560010001,420 SUNSET BLVD NE STE A      ,                         ,RENTON                  ,WA,KING,980555512,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180416,4254080395,
BUDEEZ                                       ,420661,6035688640010001,2111 E 11TH ST                ,                         ,BREMERTON               ,WA,KITSAP,983104810,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171230,3606207114,
BUDHUT                                       ,421642,6035699590010002,8529 52ND ST SE               ,                         ,SNOHOMISH               ,WA,SNOHOMISH,982909282,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171214,4257896996,
BUDS GARAGE                                  ,421005,6033500470010006,3015 EVERETT AVE              ,                         ,EVERETT                 ,WA,SNOHOMISH,982013822,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171026,4258793437,
CANNA CASA                                   ,422913,6036043990010001,3818 OLD HIGHWAY 99 S RD      ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739018,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180410,2532225697,
CANNA REPUBLIC                               ,414573,6034521320010001,11463 RAINIER AVE S STE A     ,                         ,SEATTLE                 ,WA,KING,981783963,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180502,2066870523,
CANNA WEST SEATTLE                           ,420666,6033595980010008,5440 CALIFORNIA AVE SW        ,                         ,SEATTLE                 ,WA,KING,981361513,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180604,2066969240,
CANNA WEST SEATTLE                           ,424057,6033595980010007,5435 CALIFORNIA AVE SW        ,                         ,SEATTLE                 ,WA,KING,981361512,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20180604,2066969240,
CANNA4LIFE                                   ,414211,6034482820010001,721 6TH ST                    ,                         ,CLARKSTON               ,WA,ASOTIN,994032001,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180716,5097801120,
CANNABIS & GLASS                             ,360307,6033510980010004,605 E FRANCIS                 ,                         ,SPOKANE                 ,WA,SPOKANE,992080000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180320,5099991112,
CANNABIS & GLASS                             ,415243,6033510980010002,6620 N MARKET ST SUITE 100    ,                         ,SPOKANE                 ,WA,SPOKANE,992177809,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160212,5099991112,
CANNABIS 21                                  ,415344,6033565140010003,2510 SANDRA AVE STE A         ,                         ,CENTRALIA               ,WA,LEWIS,985319321,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170522,3602397149,
CANNABIS 21                                  ,415567,6033565140010002,1000 E WISHKAH ST             ,                         ,ABERDEEN                ,WA,GRAYS HARBOR,985200000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180412,3602397149,
CANNABIS CENTRAL                             ,415662,6033839340010001,1516 WEST UNIVERSITY WAY      ,                         ,ELLENSBURG              ,WA,KITTITAS,989260000,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20160408,5098335556,
CANNABIS CENTRAL                             ,422944,6033839340010002,1514 W UNIVERSITY WAY         ,                         ,ELLENSBURG              ,WA,KITTITAS,989262337,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180306,5092011144,
CANNABIS CITY                                ,413319,6033392690010001,2733 4TH AVE S  1ST FLOOR     ,1ST FLOOR UNIT           ,SEATTLE                 ,WA,KING,981341912,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171026,2066821332,
CANNABIS COAST                               ,420123,6040821720010001,193161 HWY 101  STE 201       ,STE 201                  ,FORKS                   ,WA,CLALLAM,983319206,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180305,3609810505,
CANNABIS COUNTRY STORE                       ,414970,6033592740010003,1910 W MAIN ST SUITE 101      ,                         ,BATTLE GROUND           ,WA,CLARK,986040000,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180103,3607987194,
CANNABIS FACTORY 21                          ,422362,6040140410010002,9409 NE HWY 99 SUITE B        ,                         ,VANCOUVER               ,WA,CLARK,986658928,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180728,3608922878,
CANNABIS PROVISIONS EAST                     ,423542,6031854210010003,831 N MILLER ST               ,                         ,WENATCHEE               ,WA,CHELAN,988012046,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180317,2533347082,
CANNABIS PROVISIONS INC.                     ,421083,6032377590010002,938 N 200TH ST                ,STE D                    ,SHORELINE               ,WA,KING,981333149,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170919,2069137903,
CANNABIS PROVISIONS INC.                     ,425585,6032377590010004,938 N 200TH ST STE C          ,                         ,SHORELINE               ,WA,KING,981333149,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170919,2066295235,
CANNABIS PURVEYORS                           ,413785,6033291010010001,8701 14TH AVE S               ,                         ,SEATTLE                 ,WA,KING,981084808,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),20131220,2069191572,
CANNABIS SUPER STORE                         ,402780,6035462660010004,705 EAST 1ST ST               ,                         ,CLE ELUM                ,WA,KITTITAS,989221252,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170919,5096745356,
CANNABIS SUPER STORE LLC                     ,422745,6035462660010005,4710 EAGLE HARBOR DR. UNIT A  ,                         ,BAINBRIDGE ISLAND       ,WA,KITSAP,981102188,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170831,4255030962,
CANNABIS SWEET RELIEF                        ,422466,6035941580010001,2427 W SIMS WAY STE F         ,                         ,PORT TOWNSEND           ,WA,JEFFERSON,983682247,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20180629,5416109508,
CANNABIS TREE                                ,422992,6035859880010001,6620 N MARKET ST STE 101      ,                         ,SPOKANE                 ,WA,SPOKANE,992177809,MARIJUANA RETAILER                 ,PENDING (ISSUED),20180625,5099901089,
CANNABIZ                                     ,087932,6033429340010001,1109 RIVER RD STE A           ,                         ,PUYALLUP                ,WA,PIERCE,983713848,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20170908,2532611850,
CANNABLYSS                                   ,415575,6033596150010001,2705 HARTFORD DR STE A        ,                         ,LAKE STEVENS            ,WA,SNOHOMISH,982589204,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171107,4253277529,
CANNARAIL STATION                            ,413366,6035548960010001,1448 BASIN ST NW SUITE A      ,                         ,EPHRATA                 ,WA,GRANT,988239695,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),20171204,5067541047,
CANNAREX                                     ,414060,6033457670010003,2714 HENSON RD                ,                         ,MOUNT VERNON            ,WA,SKAGIT,982739036,MARIJUANA RETAILER                 ,PENDING (ISSUED),20180206,4254058179,
CANNAZONE                                    ,078001,6033548000010001,17940 STATE ROUTE 536         ,                         ,MOUNT VERNON            ,WA,SKAGIT,982733269,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),20170316,8602092288,
